Su formación académica tiene relación con la/s asignatura/s que imparte;4.853333333
Se tiene en cuenta la formación del profesor en la asignación de docencia;4.186666667
Distribución de la carga docente entre clases teóricas y prácticas  ;4.853333333
Metodologías docentes;4.48
Mecanismos de coordinación de esta Titulación ;4.555555556
Apoyo del Centro en las tareas de gestión de la actividad docente;4.857777778
Aprovechamiento de las tutorías por parte de los/as alumnos/as;3.591111111
Grado de implicación del alumnado;3.933333333
Utilidad del Campus Virtual para la actividad docente;4.186666667
Organización de los horarios docentes de las diferentes asignaturas;4.186666667
Satisfacción con la actividad docente desarrollada;4.555555556
